name,description,major,size,impact,momentum,website,blurb
Key Club,"Key Club is a renowned international student-led organization that empowers high school students to serve their communities, develop leadership skills, and make a positive impact through volunteerism and service projects. Key Club chapters operate in schools worldwide, fostering collaboration, compassion, and civic engagement.",Community Service,3,2,1,https://www.keyclub.org/,Promoting community service and leadership development in high school students.
Model United Nations,"Model United Nations is an academic simulation where students take on the roles of diplomats, representing countries or organizations, and engage in debates and negotiations to find solutions to real world global issues, fostering critical thinking, diplomacy, and international understanding.",Political,3,2,1,https://www.un.org/en/mun,Simulating diplomatic roles to solve global issues and build diplomacy skills.
4H Club,"Engage in the 4-H Club, America's largest youth development organization, providing a diverse and inclusive community for young people to develop valuable skills that empower them to lead throughout their lives. Through Cooperative Extension programs offered by over 100 public universities, 4-H offers hands-on experiences, mentorship, and leadership opportunities to nearly six million kids.",Business,2,1,1,https://4-h.org/,Empowering youth with hands-on experiences in agriculture and leadership.
HOSA,"HOSA - Future Health Professionals is an international student organization that aims to empower and prepare students interested in pursuing careers in the healthcare industry through leadership development, networking opportunities, and hands-on experiences in various medical fields.",Medical,3,2,1,https://hosa.org/,Preparing students for healthcare careers through leadership and experiences.
FIRST Robotics,"First Robotics Competition (FRC) is an exciting and challenging robotics competition that inspires high school students to explore the fields of science, technology, engineering, and mathematics (STEM). Teams design, build, and program robots to complete complex tasks in an intense and collaborative environment.",Engineering,3,2,1,https://info.firstinspires.org/,Robotics competition enhancing STEM skills in a collaborative environment.
NSDA,"The National Speech and Debate Association (NSDA) Tournament is a prestigious competition that brings together talented high school students from across the country to showcase their public speaking and debate skills. Participants engage in a series of captivating debates and eloquent speeches, fostering critical thinking, persuasive communication, and intellectual growth.",Debate,3,2,1,https://www.speechanddebate.org/nationals/,High school debate and public speaking competition fostering critical thinking.
ACM,"The Association for Computing Machinery (ACM) is an international organization that promotes computing education and research. ACM members participate in programming competitions, conferences, and community events to advance their knowledge and skills in computer science.",Computer Science,3,2,1,https://www.acm.org/,Promoting computing education and research through competitions and events.
Science Olympiad,Science Olympiad is an international nonprofit organization dedicated to improving the quality of K-12 science education by providing challenging competitions and hands-on learning opportunities. Students compete in various science-related events and demonstrate their knowledge and skills in STEM disciplines,STEM,3,2,1,https://www.soinc.org/,K-12 science competitions enhancing STEM education and skills.
MITES Summer,"MITES Summer is a six-week residential program at MIT that introduces talented high school students from underrepresented backgrounds to engineering and science. Through rigorous coursework, hands-on projects, and mentorship, participants explore disciplines, develop skills, and immerse in the MIT community. MITES Summer inspires students and prepares them for STEM careers.",Engineering/STEM,2,2,1,https://mites.mit.edu/,Introducing underrepresented high school students to engineering at MIT.
RSI,The RSI (Research Science Institute) program is an immersive summer research experience that provides exceptional high school students with the opportunity to engage in cutting-edge scientific research and collaborate with renowned mentors from various fields. The program takes place in MIT.,STEM,2,3,1,https://www.cee.org/programs/research-science-institute,Summer research program at MIT for high school students in scientific fields.
FBLA,"Future Business Leaders of America (FBLA) is a premier student organization that prepares high school students for careers in business and leadership roles. FBLA chapters provide opportunities for students to develop essential skills, explore various business fields, and participate in competitive events at local, state, and national levels.",Business,3,2,1,https://www.fbla.org/,Preparing students for business careers through skill development and events.
VCU Contest,"The High School Programming Contest, held at VCU's College of Engineering East Hall, offers high school students in grades 10-12 the opportunity to enhance their Java or Python programming skills while collaborating with teammates to solve programming problems within a three-hour timeframe.",Computer Science,2,2,1,https://egr.vcu.edu/departments/computer/about/high-school-programming-contest/,Programming contest for high school students to enhance coding skills.
ACE,"The ACE Mentor Program of America is a dynamic and award-winning extracurricular initiative founded in 1994 to inspire high school students to pursue vibrant careers in the Architecture, Construction, and Engineering (ACE) industries, including skilled trades. This free afterschool program operates through more than 75 affiliates (chapters) across 38 states and Canada, primarily in metropolitan ...",Architecture,2,2,1,https://www.acementor.org/,"Mentorship program inspiring careers in Architecture, Construction, and Engineering."
Adopt-a-Physicist,"The Adopt-a-Physicist Program is a mentorship program that connects high school students with physicists from around the world. Students can ask questions, learn about physics, and get advice from experienced physicists. The program is a great way to learn about physics and to develop valuable skills.",Physics,1,2,1,https://www.adoptaphysicist.org/,Connecting high school students with physicists for mentorship and learning.
All American Film Festival,"The All American High School Film Festival is a prestigious event celebrating the creativity and talent of young filmmakers from high schools across the United States. This festival provides aspiring filmmakers with a platform to showcase their original films, animations, and documentaries. Participants have the opportunity to have their work screened in front of a live audience, receive feedback ...",Film,2,2,1,https://www.hsfilmfest.com/,Film festival showcasing young filmmakers' original work and creativity.
ACSL,"The American Computer Science League (ACSL) is a programming contest that challenges students to solve a series of computer science problems. It promotes problem-solving skills, algorithmic thinking, and programming proficiency. The contest consists of several rounds conducted online over the course of the academic year, providing students with an engaging and competitive environment to showcase ...",Computer Science,2,2,1,https://www.acsl.org/,Computer science contest promoting problem-solving and programming skills.
AMC,"The American Mathematics Competitions (AMC) is a series of mathematical contests designed to challenge and inspire students in the field of mathematics. The competitions consist of multiple-choice questions that test problem-solving skills and mathematical reasoning. The AMC provides a platform for students to showcase their mathematical abilities and compete at various levels, from middle school ...",Mathematics,3,2,1,https://maa.org/math-competitions,Mathematical contests challenging and inspiring students in mathematics.
American Rocketry Challenge,"The American Rocketry Challenge is a national competition that challenges high school students to design, build, and launch rockets to meet specific flight objectives. Participants work in teams to apply their knowledge of aerospace engineering and physics, fostering innovation, problem-solving, and teamwork skills.",Engineering,2,2,1,https://rocketcontest.org/,Rocketry competition fostering aerospace engineering and teamwork skills.
ANN Neuroscience Research Prize,"The ANN Neuroscience Research Prize is a prestigious and competitive competition that celebrates excellence in neuroscience research. Organized by the Association of Neuroscience Nurses (ANN), this annual prize aims to recognize outstanding contributions to the field of neuroscience through innovative research endeavors. The competition invites researchers, scientists, and healthcare ...",Medicine,3,2,1,https://www.aan.com/research/neuroscience-research-prize,Recognizing innovative neuroscience research contributions through competition.
Anson L. Clark Scholars Program,"The Anson L. Clark Scholars Program is a highly selective summer research program designed for high-achieving high school students interested in pursuing scientific research. Scholars have the opportunity to work closely with faculty mentors at the Texas Tech University Health Sciences Center, conducting hands-on research projects in various scientific disciplines. The program aims to nurture ...",STEM,1,2,1,https://www.depts.ttu.edu/honors/academicsandenrichment/affiliatedandhighschool/clarks/,Summer research program for high-achieving students in scientific fields.
Bank of America Student Leaders Program,"The Bank of America Student Leaders Program is a prestigious internship opportunity that provides high school students with a hands-on learning experience in the nonprofit sector. Selected participants engage in a summer internship at a local nonprofit organization, gaining valuable skills in leadership, community engagement, and project management. Through this program, students develop a deeper ...",Business,2,2,1,https://about.bankofamerica.com/en/making-an-impact/student-leaders,Internship program in nonprofit sector enhancing leadership and community skills.
Beaver Works,"Beaver Works is an educational initiative and collaboration between MIT and Lincoln Laboratory, offering various STEM-focused programs, workshops, and research opportunities. It serves as a hub for innovation, providing students with hands-on experiences in science, technology, engineering, and mathematics. Through hackathons, competitions, and educational initiatives, participants engage in ...",STEM,2,2,1,https://beaverworks.ll.mit.edu/CMS/bw/bwsi,STEM-focused programs and workshops fostering innovation at MIT.
BHSEP,"The Berkeley High School Entrepreneurship Program (BHSEP) is a multi-month long program for high school students who are interested in learning about business and entrepreneurship. The program is offered by the Haas School of Business at the University of California, Berkeley, and students have the opportunity to take classes, participate in workshops, and work on real-world projects.",Business,1,2,1,https://www.decaversity.com/,Berkeley's Haas School of Business.
BAYP,"The Berkeley Academic Year Program (B-A-Y-P) is a year-long program for high school students who are interested in learning about business and entrepreneurship. The program is offered by the Haas School of Business at the University of California, Berkeley, and students have the opportunity to take classes, participate in workshops, and work on real-world projects.",Business,1,2,1,https://haas.berkeley.edu/business-academy/academic-year-program/,Year-long business and entrepreneurship program for high school students.
